inc_id,cre_dttm,restore_dttm,affected_cust
2005423506,2017-09-13 17:19:48,2017-09-17 13:57:05,8
2005423568,2017-09-13 17:39:21,2017-09-15 11:49:04,16
2005423576,2017-09-13 17:42:03,2017-09-16 18:13:38,4
2005423681,2017-09-13 18:05:25,2017-09-17 09:43:35,21
2005423895,2017-09-13 19:20:00,2017-09-15 20:00:45,4
2005425005,2017-09-13 19:40:08,2017-09-15 10:58:49,18
2005424095,2017-09-13 21:07:38,2017-09-17 14:02:16,6
2005424317,2017-09-13 21:40:55,2017-09-16 09:07:06,101
2005424287,2017-09-13 22:03:33,2018-01-09 07:24:17,22
2005424483,2017-09-14 02:47:20,2017-09-17 14:54:05,4
2005424633,2017-09-14 07:35:49,2017-12-11 15:56:17,10
2005424702,2017-09-14 08:08:21,2017-09-15 20:13:43,4
2005424868,2017-09-14 08:54:55,2017-09-17 14:53:12,9
2005424890,2017-09-14 09:02:00,2017-09-16 15:36:50,5
2005424943,2017-09-14 09:18:11,2017-09-17 08:40:59,5
2005424951,2017-09-14 09:21:40,2017-09-17 14:43:28,0
2005424964,2017-09-14 09:24:49,2017-09-15 09:37:55,8
2005424982,2017-09-14 09:31:50,2017-09-15 21:00:00,8
2005425134,2017-09-14 10:28:47,2017-09-16 11:00:00,6
2005425198,2017-09-14 10:49:37,2017-09-17 14:39:31,6
2005425274,2017-09-14 11:03:58,2017-09-15 06:47:29,183
2005425382,2017-09-14 11:36:04,2017-09-15 21:24:25,5
2005425541,2017-09-14 12:34:36,2017-09-16 16:38:47,4
2005425553,2017-09-14 12:39:38,2018-01-09 07:24:59,3
2005425709,2017-09-14 13:33:22,2017-09-17 10:12:53,4
2005426017,2017-09-14 15:19:33,2017-09-16 09:01:02,30
2005427878,2017-09-14 16:14:50,2017-09-16 10:33:44,176
2005426314,2017-09-14 17:24:31,2017-09-18 19:28:45,53
2005426512,2017-09-14 18:23:48,2017-09-15 19:55:30,17
2005426772,2017-09-14 20:23:42,2017-09-16 16:04:09,5
2005426786,2017-09-14 20:33:24,2017-09-16 06:41:11,73
2005426817,2017-09-14 20:41:12,2017-09-15 05:47:50,3985
2005427195,2017-09-15 07:56:45,2017-09-16 15:35:24,54
2005427289,2017-09-15 08:32:26,2017-11-02 16:58:15,10
2005427345,2017-09-15 08:56:30,2017-09-17 13:58:40,6
2005427506,2017-09-15 09:41:16,2017-09-16 15:42:51,191
2005427653,2017-09-15 10:20:21,2017-09-16 14:32:35,2
2005427654,2017-09-15 10:20:38,2017-09-17 10:16:21,9
2005427912,2017-09-15 11:27:15,2017-09-16 15:32:29,28
2005427915,2017-09-15 11:29:22,2017-09-17 14:06:39,28
2005428045,2017-09-15 12:06:21,2017-09-17 11:43:50,15
2005428050,2017-09-15 12:08:10,2017-09-17 14:11:21,9
2005428826,2017-09-15 15:42:23,2017-09-17 09:36:06,18
